Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
0243.KL,0.0292,0.3493,0.25768,13626809.0,23.60,13.352,0.016
5195.KL,0.0319,0.9146,0.0764,3750000.0,31.37,4.556,0.011
8052.KL,,0.0,0.076630004,-13161751.0,52.64,7.343,0.063
8982.KL,0.0432,0.8368,0.07998,49060000.0,28.63,1.880,0.102
7209.KL,,0.0,-0.11614,278242.0,-,-14.123,-0.038
5273.KL,,0.0,0.027479999,-14111305.0,84.34,12.531,0.055
7187.KL,,0.0,0.047280002,-21740254.0,17.77,10.778,0.016
1929.KL,0.0209,0.23110001,0.27754,76185147.0,11.08,7.569,1.177
5007.KL,0.0104,0.6192,0.10031,111313372.0,10.02,5.865,0.138
5188.KL,,0.0,-2.2241,173000.0,-,-16.574,-0.024
5797.KL,0.0269,,-0.058029998,44927000.0,-,-2.508,0.052
7016.KL,,0.0,0.00945,-31320175.0,-,-0.739,-0.014
1023.KL,0.0645,0.44919997,0.48251,7187992000.0,9.84,9.661,0.521
7245.KL,,0.0,-0.14536999,-5108000.0,-,-15.093,-0.173
5104.KL,,0.0,0.0066299997,1766950.0,-,-3.051,-0.002
7117.KL,0.0375,0.45450002,0.03243,101878000.0,12.90,4.349,0.048
7202.KL,0.156,1.375,0.2223,3820089.0,16.09,8.031,0.045
7154.KL,,0.0,-0.20896,397571.0,-,-9.940,-0.029
03001.KL,,0.0,-0.00765,-7211624.0,-,-1.502,-0.001
7018.KL,,0.0,-0.040949997,-1831000.0,-,-3.158,-0.005
7986.KL,,0.0,-0.50861,-31979761.0,-,-48.631,-0.100
0246.KL,0.026199998,0.0,0.12793,14000.0,14.49,14.062,0.047
5071.KL,,0.0,0.25636,45243763.0,2.88,24.260,0.696
2127.KL,,0.0,-0.22635001,-11888995.0,-,-7.691,-0.073
7195.KL,,0.0,0.121759996,-12197000.0,15.02,80.638,0.086
5037.KL,,0.0,-1.18215,-4555000.0,-,-7.774,-0.002
8044.KL,,0.0,-0.12179,-1569771.0,-,-4.236,0.291
8435.KL,,0.0,0.03769,5364719.0,50.41,2.548,0.005
0240.KL,,0.0,0.107609995,1910905.0,24.70,12.840,0.034
0261.KL,0.0256,0.4611,0.08026,-13192000.0,25.37,-,0.016
5738.KL,,0.0,-0.49984002,-19779000.0,-,-11.732,-0.286
5049.KL,0.0545,1.3672,0.09764,-11565000.0,22.68,1.241,0.030
6718.KL,0.036,0.7463,0.12831001,48244372.0,15.72,2.618,0.088
8591.KL,,0.0,0.02466,-446593.0,-,-6.613,-0.092
5094.KL,0.024600001,0.6865,-0.00834,122660322.0,28.63,1.835,0.040
7165.KL,,0.0,-0.86891,-96284866.0,-,-6.738,-0.019
5301.KL,0.015700001,0.6197,0.34569,69256000.0,43.73,14.400,0.031
0051.KL,,0.0,-0.23846,-3431326.0,-,-6.007,-0.006
9423.KL,0.0221,0.152,0.08984999,-22453298.0,9.54,5.831,0.037
7157.KL,,0.0,0.20583001,2195416.0,-,-1.962,-0.002
5184.KL,,0.0,-0.18202999,-301147000.0,-,-25.242,0.125
7204.KL,0.0038,0.2717,0.124230005,-237596000.0,185.15,4.883,0.047
4456.KL,,0.0,0.120620005,360726000.0,-,-6.501,0.177
5276.KL,0.0482,0.4651,0.13689,7905622.0,8.82,10.347,0.044
8338.KL,,0.0,-0.60778,-21304000.0,-,-26.931,-0.026
5216.KL,0.051599998,0.6826,0.31861,69423000.0,15.40,23.715,0.027
5141.KL,0.0311,0.3043,0.23113,147845000.0,18.66,7.856,0.105
5132.KL,0.036,0.4747,0.08189,13382791.0,8.99,11.598,0.105
7212.KL,,0.0,-0.19493,68122652.0,-,-24.865,-0.018
5165.KL,,0.0,-0.02794,3710841.0,-,-2.698,0.006
0152.KL,,0.0,-0.36922002,-37501354.0,-,-11.705,-0.014
7277.KL,0.0222,0.3825,0.087349996,109370000.0,24.10,8.781,0.090
6947.KL,0.0293,1.3630999,0.45075,1671135000.0,47.23,11.606,0.094
0029.KL,,0.0,0.28294,29657284.0,-,-3.899,-0.019
