stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass,rDate
2674,3.13,7.22,9.334,164507000,2.28,21.276,57.7,D,2023-10-10
0079,0.0,0.0,11.795,-914274,68.18,2.155,0.0,D,2023-10-10
2488,5.92,55.28,50.092,1401089000,8.47,9.422,43.8,C,2023-10-10
1163,7.33,78.84,16.384,1057388000,10.99,11.725,136.6,D,2023-10-10
03051,0.0,0.0,-240.633,1579748,0.0,-34.611,-7.9,D,2023-10-10
5269,7.17,26.68,65.53,50827196,4.28,10.282,11.3,C,2023-10-10
5127,3.96,273.93,56.323,47834981,34.19,0.967,2.1,D,2023-10-10
5293,2.01,16.18,13.588,-10760365,53.98,15.358,0.0,C,2023-10-10
5307,5.67,51.87,83.196,31732382,10.56,0.0,10.1,C,2023-10-10
5120,8.06,116.88,50.039,53165736,18.12,1.563,2.1,D,2023-10-10
03011,1.86,35.4,5.996,-4111020,37.89,6.979,1.1,D,2023-10-10
1015,6.3,35.47,53.021,5844100000,7.15,9.798,52.4,C,2023-10-10
7031,0.0,0.0,6.786,-4526841,24.53,3.902,2.1,D,2023-10-10
6351,3.77,41.59,6.783,-18521000,11.08,33.379,46.8,C,2023-10-10
7083,1.27,8.45,18.518,14131000,7.03,7.106,21.3,D,2023-10-10
0048,0.0,0.0,5.997,1613000,0.0,-1.786,-0.1,D,2023-10-10
4758,0.84,0.0,5.672,83327000,14.13,17.129,7.6,D,2023-10-10
0226,0.0,0.0,-11.063,-17392358,0.0,-29.391,-6.0,D,2023-10-10
6556,0.0,0.0,-9.122,-111373000,0.0,-17.162,-23.7,D,2023-10-10
5082,0.0,0.0,-16.415,367243,0.0,-76.643,76.5,D,2023-10-10
5568,0.0,136.53,11.193,19555366,31.27,5.149,7.7,D,2023-10-10
5088,0.0,0.0,17.358,-77077000,34.88,2.043,3.2,D,2023-10-10
7090,2.0,26.03,10.477,40146743,4.3,59.649,14.2,A,2023-10-10
5015,6.8,95.37,2.705,66992000,13.69,2.208,13.5,D,2023-10-10
6432,6.58,57.59,15.283,36984966,11.31,14.543,39.6,C,2023-10-10
0119,0.0,0.0,8.951,-3965792,81.3,6.624,0.0,D,2023-10-10
7214,5.0,32.93,3.187,11996901,6.17,8.945,10.6,C,2023-10-10
7181,0.0,0.0,5.216,-26685000,6.14,4.94,1.5,D,2023-10-10
7007,0.0,0.0,-8.034,-1607718,0.0,-5.688,-1.2,D,2023-10-10
0038,0.25,0.0,-5.704,-9006042,0.0,-29.584,1.7,D,2023-10-10
0068,0.0,0.0,-27.676,-8161220,0.0,-6.326,-1.9,D,2023-10-10
