Date,revenue,capitalExpenditures,grossDividend,netIncome,operatingCashFlow,operatingIncome,preferredDividends,sharesOutstanding,totalEquity,stock_code
2019-12-31,349.53,0.62,0.0,0.41,-0.3,0.99,0.0,300.03,23.19,03028
2023-06-30,10.3,1.57,0.0,0.77,-10.51,1.18,0.0,358.76,107.42,7131
2023-03-31,8.87,0.61,0.0,0.83,-14.34,1.24,0.0,358.76,106.65,7131
2022-12-31,1.83,0.02,0.0,0.27,-15.22,0.52,0.0,358.76,105.79,7131
2022-09-30,0.67,0.0,0.0,-0.46,-4.55,-0.34,0.0,358.76,103.2,7131
2022-06-30,0.78,0.0,0.0,-0.41,-0.56,-0.38,0.0,358.76,103.65,7131
2022-03-31,0.69,0.53,0.0,-0.66,-8.12,-0.43,0.0,358.76,104.06,7131
2021-12-31,4.19,0.53,0.0,-0.46,-7.36,-0.8,0.0,358.76,104.75,7131
2021-09-30,2.08,0.02,0.0,-0.92,3.68,-0.89,0.0,298.97,96.57,7131
2023-05-31,31.11,0.05,0.0,0.46,-1.24,0.92,0.0,347.37,89.92,0218
2023-02-28,27.74,1.94,0.0,0.21,0.01,0.61,0.0,347.37,89.46,0218
2022-11-30,29.18,1.75,0.0,1.38,0.96,1.98,0.0,347.37,89.25,0218
2022-08-31,39.29,0.74,0.0,1.65,1.07,1.38,0.0,347.37,87.87,0218
2022-05-31,36.3,0.67,0.0,2.5,-1.38,2.02,0.0,347.37,86.92,0218
2022-02-28,33.61,5.64,0.0,0.96,6.97,1.2,0.0,347.37,84.42,0218
2021-11-30,35.71,2.45,0.0,3.04,4.38,3.24,0.0,345.29,82.96,0218
2021-08-31,18.22,2.29,0.0,0.59,-0.62,0.62,0.0,345.29,79.94,0218
2023-06-30,1.17,1.01,0.0,-0.95,-1.94,-0.92,0.0,97.55,7.83,0122
2023-03-31,0.52,1.0,0.0,-1.27,-1.22,-1.24,0.0,97.55,8.72,0122
2022-12-31,3.44,0.27,0.0,-4.44,-3.58,-4.28,0.0,88.69,8.7,0122
2022-09-30,0.44,0.03,0.0,-0.99,-3.34,-0.94,0.0,88.69,10.3,0122
2022-06-30,1.75,1.32,0.0,-0.69,-1.87,-0.66,0.0,88.69,11.25,0122
2022-03-31,1.48,1.31,0.0,-0.87,-1.38,-0.83,0.0,88.69,11.58,0122
2021-12-31,0.94,1.1,0.0,-2.13,-3.06,-2.12,0.0,88.69,12.53,0122
2021-09-30,1.68,0.02,0.0,-1.59,-2.18,-1.57,0.0,80.66,12.39,0122
2023-06-30,66.76,5.73,0.0,-4.24,-1.06,-1.57,0.0,2529.19,488.76,1481
2023-03-31,82.66,1.68,0.0,-3.49,0.82,-1.75,0.0,2529.19,490.49,1481
2022-12-31,89.52,20.59,0.0,-16.06,-8.26,-22.3,0.0,2529.19,493.91,1481
2022-09-30,64.35,45.48,0.0,-6.52,-6.95,-2.94,0.0,1098.14,437.49,1481
2022-06-30,50.27,43.65,0.0,-5.78,-5.55,-4.97,0.0,1098.14,442.14,1481
2022-03-31,38.96,7.32,0.0,-6.94,-9.74,-4.45,0.0,1098.14,447.71,1481
2021-12-31,41.68,18.75,0.0,12.42,-16.95,25.61,0.0,1098.14,453.35,1481
2021-09-30,26.66,10.52,0.0,-6.81,-11.92,-4.44,0.0,1098.14,426.18,1481
2023-06-30,118.43,3.99,0.0,0.54,9.2,4.58,0.0,575.35,212.5,5281
2023-03-31,112.02,1.87,0.0,0.15,1.05,2.04,0.0,483.37,192.34,5281
2022-12-31,95.78,5.03,0.0,-22.49,5.13,-8.31,0.0,483.37,192.22,5281
2022-09-30,122.41,0.73,0.0,0.66,3.52,1.51,0.0,483.37,214.71,5281
2022-06-30,99.17,0.42,0.0,0.55,11.76,1.23,0.0,483.37,214.05,5281
2022-03-31,104.99,0.23,0.0,-2.08,17.28,-0.89,0.0,483.37,213.5,5281
2021-12-31,75.99,3.8,0.0,1.62,25.05,3.41,0.0,483.37,215.58,5281
2021-09-30,69.65,2.54,0.0,1.85,35.48,4.03,0.0,406.43,191.75,5281
2023-06-30,5.72,0.7,0.0,-0.26,-0.68,-0.09,0.0,80.75,29.21,9148
2023-03-31,6.14,0.53,0.0,-0.34,-0.8,-0.21,0.0,80.17,29.12,9148
2022-12-31,29.02,5.4,0.0,-1.74,5.07,-1.43,0.0,79.98,29.39,9148
2022-09-30,8.38,3.08,0.0,-0.74,-0.87,-0.67,0.0,81.4,29.92,9148
2022-06-30,7.96,0.86,0.0,0.02,-1.38,0.07,0.0,76.45,30.04,9148
2022-03-31,6.88,0.08,0.0,-0.25,-1.34,-0.28,0.0,76.45,28.78,9148
2021-12-31,6.74,2.16,0.0,-0.92,-6.03,-1.34,0.0,76.45,28.74,9148
2021-09-30,5.53,1.24,0.0,-0.35,-1.7,-0.38,0.0,76.45,29.66,9148
2023-06-30,6.66,0.01,0.0,-2.54,-16.43,-2.15,0.0,152.79,61.57,7191
2023-03-31,13.75,0.01,0.0,-0.83,-12.28,-0.51,0.0,152.79,63.02,7191
2022-12-31,8.54,0.25,0.0,-4.01,0.46,-5.18,0.0,152.79,62.98,7191
2022-09-30,10.26,0.44,0.0,-1.92,-6.47,-1.75,0.0,152.79,67.06,7191
2022-06-30,21.9,0.35,0.0,0.08,-3.58,0.88,0.0,152.79,69.08,7191
2022-03-31,18.3,0.05,0.0,0.7,-0.51,1.47,0.0,152.79,68.99,7191
2021-12-31,21.14,0.59,0.0,4.01,-15.02,-2.9,0.0,152.79,68.28,7191
2021-09-30,43.42,1.92,0.0,2.53,-10.32,3.87,0.0,152.79,64.38,7191
2023-06-30,22.96,0.91,0.0,-5.65,16.3,-4.68,0.0,2163.5,73.11,7146
2023-03-31,30.42,6.85,0.0,-9.4,-15.78,-8.55,0.0,2163.5,78.29,7146
2022-12-31,24.1,4.59,0.0,1.39,-17.53,2.16,0.0,2163.5,86.62,7146
2022-09-30,27.38,1.96,0.0,-2.36,-12.1,-1.76,0.0,2163.5,84.81,7146
2022-06-30,27.41,0.35,0.0,-10.48,-11.94,-9.85,0.0,2163.5,87.28,7146
2022-03-31,32.16,9.68,0.0,-44.2,-12.97,-43.63,0.0,2163.5,97.86,7146
2021-12-31,32.75,8.28,0.0,-7.63,-13.29,-6.93,0.0,2163.63,140.33,7146
2021-09-30,43.31,6.13,0.0,-1.85,1.38,-1.18,0.0,2163.63,147.59,7146
2023-06-30,3.86,5.98,0.0,-6.9,-7.2,-6.0,0.0,668.29,173.39,0181
2023-03-31,5.29,3.68,0.0,-4.69,-3.52,-4.06,0.0,668.22,180.17,0181
2022-12-31,9.85,2.03,0.0,-4.77,-5.72,-3.77,0.0,639.39,184.62,0181
2022-09-30,18.22,9.7,0.0,1.68,-33.28,2.54,0.0,668.03,189.01,0181
2022-06-30,17.04,7.71,0.0,1.7,-22.96,2.41,0.0,652.08,187.02,0181
2022-03-31,19.21,5.18,0.0,4.61,-15.6,4.66,0.0,644.33,185.08,0181
2021-12-31,18.58,2.21,0.0,4.53,-0.98,4.85,0.0,621.46,180.15,0181
2021-09-30,17.3,10.06,0.0,4.07,-3.54,4.26,0.0,606.79,112.61,0181
2023-06-30,1033.0,219.2,0.0,30.2,295.3,72.7,0.0,1404.0,1813.1,6599
2023-03-31,1106.8,25.5,0.0,38.2,192.8,83.7,0.0,1404.0,1839.8,6599
2022-12-31,1061.79,118.37,56.16,24.93,704.73,72.03,0.0,1404.0,1807.03,6599
2022-09-30,982.0,73.6,0.0,10.9,507.3,46.4,0.0,1404.0,1786.8,6599
2022-06-30,1095.5,56.7,0.0,47.3,494.4,121.3,0.0,1404.0,1777.2,6599
2022-03-31,1001.8,25.5,0.0,28.1,172.5,83.4,0.0,1404.0,1777.8,6599
2021-12-31,992.1,67.13,42.12,70.98,698.89,128.74,0.0,1404.0,1742.75,6599
2021-09-30,750.56,41.05,0.0,-18.67,265.34,-1.21,0.0,1404.0,1665.91,6599
2023-05-31,452.67,8.09,0.0,99.36,-183.05,216.64,0.0,255.31,2631.36,5139
2023-02-28,432.66,17.35,53.62,95.34,-98.24,210.57,0.0,255.31,2524.83,5139
2022-11-30,417.84,11.57,0.0,83.63,-61.32,180.34,0.0,255.31,2461.14,5139
2022-08-31,399.17,7.31,72.76,75.65,13.74,178.86,0.0,255.31,2432.7,5139
2022-05-31,390.57,4.43,0.0,163.07,120.64,293.13,0.0,255.31,2421.76,5139
2022-02-28,362.97,53.76,51.06,23.38,1002.69,123.9,0.0,255.31,2201.29,5139
2021-11-30,376.47,37.27,0.0,103.46,1018.54,245.04,0.0,255.31,2148.55,5139
2021-08-31,374.48,28.71,72.76,75.48,789.05,187.28,0.0,255.31,2093.15,5139
2023-06-30,25354.63,106.81,0.0,113.23,1315.77,202.53,0.0,2273.89,10956.78,5185
2023-03-31,23137.91,59.05,0.0,148.98,-1286.94,233.64,0.0,2273.89,10820.65,5185
2022-12-31,21180.56,288.53,677.11,16.56,2545.36,267.37,0.0,2273.89,10628.83,5185
2022-09-30,22008.44,238.33,0.0,872.37,607.7,266.49,0.0,2212.33,10948.2,5185
2022-06-30,22511.63,173.15,0.0,146.91,1592.98,259.6,0.0,2124.06,10097.83,5185
2022-03-31,20353.44,89.73,0.0,142.69,3057.1,229.05,0.0,2124.06,10000.57,5185
2021-12-31,15957.99,270.62,265.51,206.85,4017.08,248.23,0.0,2124.06,9888.97,5185
2021-09-30,15594.87,188.27,0.0,133.2,4898.48,232.45,0.0,2124.06,9552.61,5185
2023-06-30,7.66,0.0,0.0,-3.29,-2.34,-2.56,0.0,311.67,177.69,7145
2023-03-31,9.32,0.0,0.0,-2.12,-2.33,-1.31,0.0,311.66,102.64,7145
2022-12-31,52.17,194.05,0.0,-165.95,180.38,-164.03,0.0,311.66,238.25,7145
2022-09-30,90.33,134.35,0.0,3.13,112.21,22.79,0.0,311.66,384.52,7145
2022-06-30,116.66,134.35,0.0,4.76,112.16,3.66,0.0,311.66,412.4,7145
2022-03-31,103.86,120.08,0.0,8.83,106.68,6.94,0.0,121.34,375.31,7145
2021-12-31,80.83,31.17,0.0,6.58,34.81,13.93,0.0,121.34,347.53,7145
2021-09-30,52.4,0.0,0.0,19.06,11.97,12.71,0.0,101.12,327.02,7145
2023-06-30,7.51,0.49,0.0,2.57,2.2,2.84,0.0,325.0,41.66,0258
2023-03-31,6.38,0.72,0.0,0.62,4.26,0.58,0.0,325.0,39.09,0258
2022-12-31,8.3,0.55,0.0,2.19,3.26,2.09,0.0,325.0,38.47,0258
2022-09-30,6.03,0.31,0.0,2.17,3.0,2.17,0.0,325.0,36.28,0258
2022-06-30,5.65,0.13,0.0,2.11,2.23,2.3,0.0,325.0,13.2,0258
2023-06-30,8.84,0.0,0.0,-9.29,-11.38,-9.29,0.0,608.32,40.38,7315
2023-03-31,1.23,3.01,0.0,-3.7,1.62,-3.7,0.0,395.31,25.69,7315
2022-12-31,3.85,9.09,0.0,-0.66,8.44,-0.66,0.0,375.81,27.38,7315
2022-09-30,3.72,0.23,0.0,-5.46,-12.7,-5.48,0.0,375.81,28.04,7315
2022-06-30,3.05,0.08,0.0,-0.96,-11.35,-0.96,0.0,375.81,33.7,7315
2022-03-31,1.3,0.01,0.0,-2.35,-8.25,-2.34,0.0,374.11,34.03,7315
2021-12-31,2.13,0.01,0.0,-0.37,-1.84,-0.37,0.0,290.31,27.83,7315
2021-09-30,0.66,0.07,0.0,-3.04,-3.34,-3.04,0.0,260.31,25.56,7315
2023-06-30,132.1,0.2,0.0,-19.41,59.16,-8.2,0.0,596.25,124.26,7078
2023-03-31,98.09,0.2,0.0,6.51,148.16,16.48,0.0,596.43,162.81,7078
2022-12-31,83.38,0.2,0.0,-42.34,7.8,-34.88,0.0,596.43,170.44,7078
2022-09-30,74.8,0.2,0.0,-27.92,55.39,-21.51,0.0,596.43,190.15,7078
2022-06-30,99.53,70.78,0.0,-41.71,77.23,-50.36,0.0,596.43,224.71,7078
2022-03-31,181.27,39.42,0.0,-16.33,27.45,-14.05,0.0,596.43,268.72,7078
2021-12-31,239.64,19.32,0.0,-11.44,17.12,-6.4,0.0,596.43,285.61,7078
2021-09-30,202.71,11.37,0.0,6.22,-23.48,11.52,0.0,596.43,294.88,7078
2023-06-30,23.76,1.85,0.0,2.97,4.9,3.97,0.0,1468.95,127.99,0209
2023-03-31,17.21,0.46,0.0,1.02,5.09,1.45,0.0,1468.95,124.61,0209
2022-12-31,18.77,0.97,0.0,3.01,24.77,3.33,0.0,1468.95,123.38,0209
2022-09-30,25.77,0.34,0.0,3.83,20.52,4.95,0.0,1468.95,120.1,0209
2022-06-30,23.25,0.26,0.0,3.44,16.17,3.93,0.0,1448.95,115.84,0209
2022-03-31,23.96,0.12,0.0,2.94,14.75,4.73,0.0,1224.12,80.96,0209
2021-12-31,25.14,2.77,0.0,3.85,-3.08,3.49,0.0,1224.12,77.65,0209
2021-09-30,16.8,1.78,0.0,1.29,-2.03,1.68,0.0,1224.12,73.47,0209
2023-06-30,512.91,0.0,0.0,5.54,75.32,38.21,0.0,447.07,96.13,5238
2023-03-31,548.84,0.0,0.0,328.0,25.4,308.4,0.0,414.81,40.76,5238
2022-12-31,286.98,2.02,0.0,453.46,110.37,-126.58,0.0,414.81,-285.2,5238
2022-09-30,100.1,0.0,0.0,25.09,-11.13,27.57,0.0,414.81,-752.03,5238
2022-06-30,107.18,0.0,0.0,-652.52,-64.74,-653.77,0.0,414.81,-778.14,5238
2022-03-31,113.02,0.0,0.0,33617.66,-26.95,33619.06,0.0,414.81,-125.62,5238
2021-12-31,119.31,0.0,0.0,-11.94,-17.98,-11.4,0.0,414.81,-33743.18,5238
2021-09-30,99.27,0.0,0.0,-149.14,-21.17,-136.77,0.0,414.81,-33731.28,5238
2023-06-30,148.53,2.17,0.0,12.21,11.16,16.89,0.0,60.8,535.64,2658
2023-03-31,157.92,53.57,5.53,23.1,-10.42,10.57,0.0,60.8,528.97,2658
2022-12-31,146.17,42.45,0.0,2.3,-54.85,4.25,0.0,60.8,505.21,2658
2022-09-30,158.15,23.23,0.0,2.94,-64.31,4.84,0.0,60.8,502.91,2658
2022-06-30,141.51,11.19,0.0,-0.85,-34.66,-0.25,0.0,60.8,499.97,2658
2022-03-31,125.37,74.38,5.17,-17.42,4.01,-20.84,0.0,60.8,505.99,2658
2021-12-31,134.18,44.46,0.0,10.26,1.42,11.92,0.0,60.8,523.47,2658
2021-09-30,110.07,28.67,0.0,8.95,1.09,11.13,0.0,60.8,513.21,2658
2023-05-31,67.57,6.42,0.0,12.91,58.41,13.79,0.0,290.68,465.69,7609
2023-02-28,72.1,0.82,0.0,46.11,48.74,47.22,0.0,285.75,444.28,7609
2022-11-30,74.17,19.05,0.0,9.78,22.9,9.81,0.0,285.75,398.02,7609
2022-08-31,72.8,1.97,0.0,4.05,-10.66,5.13,0.0,285.75,387.63,7609
2022-05-31,77.44,1.23,0.0,10.0,-12.62,12.94,0.0,283.73,382.26,7609
2022-02-28,69.64,0.15,0.0,5.54,-12.23,8.55,0.0,291.73,373.42,7609
2021-11-30,90.16,1.95,0.0,3.83,15.95,5.81,0.0,291.73,367.08,7609
2021-08-31,24.03,1.5,0.0,1.49,8.84,0.87,0.0,291.73,364.11,7609
2023-06-30,29.39,0.0,15.95,15.32,34.66,15.32,0.0,839.6,1072.58,5116
2023-03-31,30.21,0.0,15.13,17.27,12.58,17.27,0.0,756.49,972.02,5116
2022-12-31,28.26,0.0,15.89,5.23,88.87,5.12,0.0,756.49,971.21,5116
2022-09-30,27.42,0.0,14.72,17.62,39.3,17.62,0.0,735.99,955.74,5116
2022-06-30,27.31,0.0,14.72,18.34,40.5,18.34,0.0,735.99,953.1,5116
2022-03-31,27.25,0.0,14.72,18.95,5.57,18.95,0.0,735.99,950.95,5116
2021-12-31,26.97,0.0,13.25,22.88,88.58,22.11,0.0,735.99,945.0,5116
2021-09-30,28.67,0.0,14.72,15.29,66.92,15.29,0.0,735.99,938.43,5116
2023-06-30,118.78,1.65,0.0,20.93,-10.97,14.38,0.0,1531.66,-51.92,5115
2023-03-31,37.28,0.0,0.0,-11.5,-6.67,-10.32,0.0,1531.66,-72.49,5115
2022-12-31,52.07,0.0,0.0,8.72,7.35,14.83,0.0,1531.66,-60.68,5115
2022-09-30,91.0,0.0,0.0,-1.63,-2.45,-5.97,0.0,1531.83,-70.23,5115
2022-06-30,97.87,2.41,0.0,-42.53,-34.23,-25.38,0.0,1531.83,-67.63,5115
2022-03-31,56.82,0.0,0.0,-10.36,-22.4,-8.1,0.0,1531.66,81.78,5115
2021-12-31,30.89,0.0,0.0,-129.98,-8.95,-133.53,0.0,1531.66,92.55,5115
2021-09-30,67.39,0.0,0.0,-4.75,-27.49,-3.5,0.0,1433.88,217.85,5115
2023-06-30,178.98,9.05,0.0,3.5,24.44,5.5,0.0,134.33,240.38,2674
2023-03-31,186.49,1.53,0.0,6.81,21.21,9.92,0.0,134.33,236.88,2674
2022-12-31,212.23,8.98,0.0,17.93,173.49,23.39,0.0,134.33,230.07,2674
2022-09-30,255.06,5.1,0.0,18.31,62.63,25.2,0.0,134.33,212.14,2674
2022-06-30,255.45,1.32,0.0,19.84,34.27,26.38,0.0,134.33,197.19,2674
2022-03-31,253.28,0.72,0.0,21.44,-11.77,28.57,0.0,134.33,177.35,2674
2021-12-31,183.22,3.79,0.0,10.37,-39.01,14.02,0.0,134.33,155.91,2674
2021-09-30,130.15,2.66,0.0,6.88,-33.82,9.39,0.0,134.33,145.61,2674
2023-06-30,3.2,0.77,0.0,0.88,-3.05,1.29,0.0,1113.46,24.12,0079
2023-03-31,2.89,0.34,0.0,-0.24,-2.41,-0.11,0.0,1113.46,23.28,0079
2022-12-31,3.04,0.99,0.0,-0.18,0.07,-0.24,0.0,1063.89,23.52,0079
2022-09-30,1.79,0.28,0.0,0.06,-5.35,0.35,0.0,1113.46,23.67,0079
2022-06-30,1.76,0.1,0.0,0.07,-6.03,0.27,0.0,1113.46,23.65,0079
2022-03-31,1.3,0.07,0.0,-0.38,-4.36,-0.27,0.0,1113.46,23.62,0079
2021-12-31,1.76,0.08,0.0,-19.97,-2.84,-20.04,0.0,964.44,20.85,0079
2021-09-30,1.24,0.08,0.0,-0.51,1.48,-0.43,0.0,856.51,34.36,0079
2023-06-30,14043.24,27.28,0.0,150.54,-121.05,305.02,0.0,1548.11,6755.31,2488
2023-03-31,12369.25,79.09,154.81,130.17,1480.18,302.74,0.0,1548.11,6746.65,2488
2022-12-31,11823.35,59.78,0.0,177.1,1928.38,327.8,0.0,1548.11,6550.72,2488
2022-09-30,11852.81,38.67,185.77,158.42,1391.48,309.19,0.0,1548.11,6484.85,2488
2022-06-30,11250.68,15.83,0.0,212.16,1772.04,290.37,0.0,1548.11,6325.22,2488
2022-03-31,11932.26,64.39,157.91,103.04,-1065.65,276.13,0.0,1548.11,6416.68,2488
2021-12-31,11542.19,43.15,0.0,151.02,-1326.11,294.78,0.0,1548.11,6404.06,2488
2021-09-30,12410.46,27.85,128.49,172.74,-901.13,274.13,0.0,1548.11,6438.46,2488
2023-06-30,1055.79,14.63,0.0,166.67,34.78,222.88,0.0,177.97,4986.38,1163
2023-03-31,969.57,5.42,0.0,172.69,-79.07,232.29,0.0,177.97,4917.64,1163
2022-12-31,1706.8,21.1,60.78,166.34,1184.23,232.54,-139.3,177.97,4230.03,1163
2022-09-30,1322.03,14.75,0.0,108.56,716.67,124.89,0.0,177.96,4281.12,1163
2022-06-30,980.74,11.76,0.0,96.62,437.73,95.34,-32.3,177.96,4185.19,1163
2022-03-31,1286.32,4.19,0.0,101.32,21.96,109.38,0.0,177.96,4201.06,1163
2021-12-31,1331.5,20.15,239.35,154.67,611.06,170.08,-127.42,177.51,4144.15,1163
2021-09-30,1312.86,16.76,0.0,115.16,235.91,128.26,0.0,177.51,4255.18,1163
2023-06-30,2.32,0.37,0.0,-4.5,-7.0,-4.48,0.0,100.0,19.01,03051
2022-12-31,0.93,0.38,0.0,-3.33,-6.46,-3.32,0.0,100.0,22.55,03051
2022-06-30,4.49,2.51,0.0,-0.04,4.09,0.05,0.0,100.0,25.85,03051
2021-12-31,1.58,0.01,0.0,0.72,-0.44,-1.22,0.0,100.0,25.91,03051
2023-06-30,18.81,0.69,2.32,3.19,19.7,3.19,0.0,580.0,637.72,5269
2023-03-31,18.89,0.01,2.32,3.44,9.46,3.44,0.0,580.0,634.45,5269
2022-12-31,19.56,0.28,14.5,51.57,51.1,52.15,0.0,580.0,639.79,5269
2022-09-30,17.78,0.23,10.44,4.87,32.9,4.87,0.0,580.0,591.12,5269
2022-06-30,17.57,0.22,2.9,4.48,18.51,4.48,0.0,580.0,589.15,5269
2022-03-31,16.89,0.0,2.9,4.5,7.64,4.5,0.0,580.0,584.67,5269
2021-12-31,17.41,0.0,3.36,-9.84,36.55,-9.86,0.0,580.0,590.61,5269
2021-09-30,17.58,0.01,2.9,4.77,22.55,4.77,0.0,580.0,603.35,5269
2023-06-30,18.48,0.0,0.0,1.97,20.37,1.97,0.0,573.22,731.0,5127
2023-03-31,18.53,0.0,0.0,3.34,10.2,3.34,0.0,573.22,739.12,5127
2022-12-31,20.4,0.0,10.09,-3.24,47.84,-0.31,0.0,573.22,735.79,5127
2022-09-30,19.15,0.0,0.0,5.07,42.43,5.07,0.0,573.22,748.46,5127
2022-06-30,19.5,0.0,9.43,6.15,23.5,6.15,0.0,573.22,743.39,5127
2022-03-31,18.8,0.0,0.0,4.32,11.79,4.32,0.0,573.22,749.93,5127
2021-12-31,21.58,0.0,12.69,4.54,55.89,4.7,0.0,573.22,745.61,5127
2021-09-30,22.31,0.0,0.0,9.8,35.26,9.8,0.0,573.22,757.19,5127
2023-06-30,222.51,0.29,0.0,23.27,87.3,38.65,0.0,639.09,834.23,5293
2023-03-31,157.2,16.98,19.17,40.38,6.22,78.28,0.0,639.09,811.0,5293
2022-12-31,134.35,16.73,0.0,9.28,32.07,19.72,0.0,639.09,770.72,5293
2022-09-30,147.47,13.99,0.0,45.81,-27.68,70.04,0.0,640.67,763.48,5293
2022-06-30,136.9,8.7,0.0,6.09,-27.31,15.23,0.0,640.67,712.1,5293
2022-03-31,139.73,32.94,16.02,20.88,-56.68,28.33,0.0,640.67,706.01,5293
2021-12-31,95.59,23.8,0.0,10.71,-26.28,17.82,0.0,640.67,685.14,5293
2021-09-30,86.33,10.1,0.0,9.76,-16.83,16.51,0.0,640.67,674.43,5293
2023-06-30,24.8,0.0,0.0,2.45,14.81,10.79,0.0,686.4,796.62,5120
2023-03-31,25.67,0.0,0.0,5.81,53.17,13.95,0.0,686.4,804.87,5120
2022-12-31,25.78,0.0,0.0,3.02,39.48,11.39,0.0,686.4,799.06,5120
2022-09-30,26.67,0.0,0.0,1.21,28.45,9.06,0.0,686.4,803.87,5120
2022-06-30,25.3,0.0,0.0,4.16,14.17,11.06,0.0,686.4,802.66,5120
2022-03-31,24.49,0.0,0.0,-8.38,46.57,-2.61,0.0,686.4,811.75,5120
2021-12-31,25.75,0.0,0.0,5.72,31.95,12.48,0.0,686.4,820.13,5120
2021-09-30,23.67,0.0,0.0,3.13,17.96,9.89,0.0,686.4,821.89,5120
2023-03-31,30.27,8.2,0.0,0.11,4.09,-0.04,0.0,268.11,44.58,03011
2022-09-30,36.74,4.3,0.0,2.93,0.06,4.37,0.0,268.11,45.54,03011
2022-03-31,41.4,4.33,0.0,5.79,17.39,7.04,0.0,268.11,42.61,03011
2021-09-30,44.04,1.86,0.0,6.53,10.0,8.94,0.0,268.11,36.82,03011
2021-03-31,40.11,3.59,0.0,2.55,6.14,4.16,0.0,268.11,30.83,03011
2020-09-30,25.15,1.19,0.0,0.83,2.51,2.3,0.0,268.11,27.45,03011
2020-03-31,18.75,4.55,0.0,-0.01,1.81,-0.64,0.0,268.11,26.62,03011
2019-09-30,17.26,1.94,0.0,-2.3,0.69,-1.71,0.0,268.11,26.63,03011
2023-06-30,51118.73,35.5,0.0,378.37,-2867.34,527.75,0.0,3306.55,18486.33,1015
