stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass
2488,0.059,0.553,0.501,1401089000,8.47,9.422,0.438,C
1163,0.073,0.788,0.164,1057388000,10.99,11.725,1.366,D
03051,0.0,0.0,-2.406,1579748,0.0,-34.611,-0.079,D
5269,0.072,0.267,0.655,50827196,4.28,10.282,0.113,C
5127,0.04,2.739,0.563,47834981,34.19,0.967,0.021,D
5293,0.02,0.162,0.136,-10760365,53.98,15.358,0.0,C
5307,0.057,0.519,0.832,31732382,10.56,0.0,0.101,C
5120,0.081,1.169,0.5,53165736,18.12,1.563,0.021,D
03011,0.019,0.354,0.06,-4111020,37.89,6.979,0.011,D
1015,0.063,0.355,0.53,5844100000,7.15,9.798,0.524,C
7031,0.0,0.0,0.068,-4526841,24.53,3.902,0.021,D
6351,0.038,0.416,0.068,-18521000,11.08,33.379,0.468,C
7083,0.013,0.084,0.185,14131000,7.03,7.106,0.213,D
0048,0.0,0.0,0.06,1613000,0.0,-1.786,-0.001,D
4758,0.008,0.0,0.057,83327000,14.13,17.129,0.076,D
0226,0.0,0.0,-0.111,-17392358,0.0,-29.391,-0.06,D
6556,0.0,0.0,-0.091,-111373000,0.0,-17.162,-0.237,D
5082,0.0,0.0,-0.164,367243,0.0,-76.643,0.765,D
5568,0.0,1.365,0.112,19555366,31.27,5.149,0.077,D
5088,0.0,0.0,0.174,-77077000,34.88,2.043,0.032,D
7090,0.02,0.26,0.105,40146743,4.3,59.649,0.142,A
5015,0.068,0.954,0.027,66992000,13.69,2.208,0.135,D
6432,0.066,0.576,0.153,36984966,11.31,14.543,0.396,C
0119,0.0,0.0,0.09,-3965792,81.3,6.624,0.0,D
7214,0.05,0.329,0.032,11996901,6.17,8.945,0.106,C
7181,0.0,0.0,0.052,-26685000,6.14,4.94,0.015,D
7007,0.0,0.0,-0.08,-1607718,0.0,-5.688,-0.012,D
0038,0.002,0.0,-0.057,-9006042,0.0,-29.584,0.017,D
0068,0.0,0.0,-0.277,-8161220,0.0,-6.326,-0.019,D
7722,0.038,0.517,0.077,4132690,14.46,3.849,0.052,C
7129,0.018,0.1,0.158,55647314,9.72,5.286,0.161,D
0159,0.0,0.0,0.293,-1001284,20.91,15.038,0.01,D
0105,0.0,0.0,-0.082,-27957265,0.0,-5.698,-0.011,D
4057,0.0,0.0,0.112,-3465000,17.69,0.797,0.004,D
7162,0.017,0.157,0.062,-86339000,8.65,6.169,0.098,D
7054,0.0,0.0,-0.431,1442024,0.0,-3.074,-0.006,D
03032,0.0,0.0,0.292,4149285,0.0,10.801,0.018,D
6399,0.087,1.0,0.096,752651000,15.14,15.292,0.049,D
0072,0.0,0.0,-1.366,1830172,0.0,-27.321,-0.014,D
8176,0.0,0.0,-0.422,146769000,0.0,-43.352,-0.212,D
7048,0.014,0.455,0.096,18038000,31.84,5.496,0.086,D
5130,0.051,0.922,0.806,29621319,16.35,6.845,0.096,D
7099,0.0,0.0,0.093,-9054626,5.98,4.606,0.045,D
5302,0.017,0.362,0.106,1392521,22.89,15.398,0.104,D
03037,0.0,0.0,0.058,16893602,0.0,12.51,0.011,D
8885,0.0,0.0,-0.005,3822000,0.0,-2.764,-0.004,D
5204,0.0,0.0,-0.105,-15560000,0.0,-3.461,-0.008,D
7579,0.036,0.368,0.028,49391136,69.63,0.952,0.007,C
6888,0.059,0.0,0.085,-1242499000,2.44,-28.977,1.063,D
5106,0.045,0.933,0.706,228130000,17.98,6.386,0.116,D
7120,0.0,0.0,-0.17,-21209233,0.0,-4.742,-0.021,D
