stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass
0127,0.0,0.0,0.067,-17583096,45.15,3.668,0.039,D
8923,0.0,0.0,-3.125,-15638521,0.0,-19.705,-0.069,D
03040,0.0,0.0,0.107,-4236352,12.44,13.566,0.034,D
6769,0.0,0.0,0.342,75745000,9.31,4.761,0.011,D
7096,0.0,0.0,-1.685,-10273000,0.0,-6.994,-0.013,D
3441,0.0,0.0,-1.477,-94533000,0.0,-16.427,-0.01,D
5192,0.0,0.0,-0.012,-3822461,0.0,-0.856,0.011,D
8672,0.0,0.0,-0.041,22314473,0.0,-2.272,-0.026,D
0170,0.0,0.0,-0.186,-134894574,0.0,-4.359,-0.344,D
5247,0.018,0.0,0.042,-35029000,60.8,2.243,0.01,D
0054,0.02,0.333,0.041,20682782,19.55,3.682,0.013,C
7216,0.02,0.399,0.083,26337129,19.88,8.45,0.107,C
3476,0.033,0.151,0.081,237706000,7.0,8.754,0.561,C
7199,0.014,0.073,0.087,20745271,6.69,14.789,0.205,D
0193,0.0,0.0,0.052,-6169579,139.34,5.387,0.001,D
0151,0.02,0.235,0.063,-8829000,14.32,28.941,0.087,C
7323,0.0,0.0,0.286,13723000,17.21,1.707,0.016,D
6483,0.069,0.939,0.08,-353709000,14.16,4.576,0.075,D
7161,0.062,0.639,0.13,89219432,13.38,10.078,0.092,C
7077,0.037,0.299,0.316,142437000,7.81,22.137,0.099,C
9334,0.01,0.0,-0.014,-51053000,0.0,-1.651,0.039,D
0036,0.0,0.0,-0.487,-106771,0.0,-16.277,-0.006,D
0143,0.0,0.0,-0.318,-4795300,0.0,-16.295,-0.004,D
6203,0.0,0.0,0.049,-3791056,13.2,-877.763,0.012,D
7062,0.03,0.404,0.026,13000000,12.96,4.117,0.43,C
6211,0.0,0.0,-0.042,-1002121,0.0,-2.237,-0.012,D
5371,0.0,0.0,-0.084,-19287000,0.0,-8.596,-0.241,D
0210,0.034,0.0,0.031,5330713,36.66,2.375,0.013,D
5027,0.054,0.654,0.14,149194929,11.4,18.019,0.168,C
0180,0.0,0.0,0.052,31083089,7.18,13.217,0.032,D
5171,0.012,0.0,0.012,30604228,0.0,-1.329,-0.02,D
5280,0.079,0.626,0.611,55448000,0.0,0.0,0.0,C
9466,0.043,0.826,0.106,41176696,19.81,5.349,0.041,D
5235SS,0.052,0.85,0.645,1019899000,15.02,6.275,0.434,D
2453,0.003,0.0,0.255,10838498,12.38,2.814,0.313,D
7164,0.0,0.0,0.041,174351000,0.0,-55.8,0.024,D
5035,0.0,0.0,0.001,-21557000,0.0,-1.619,-0.023,D
6971,0.016,0.245,0.122,-87190272,20.11,7.539,0.088,D
7017,0.0,0.0,-0.046,-17550000,0.0,-2.844,-0.008,D
0111,0.0,0.0,0.006,-4276601,81.63,1.424,0.0,D
4847,0.0,0.0,0.071,3043000,29.7,0.0,-0.024,D
7153,0.11,0.0,-0.025,-21983000,0.0,-0.171,0.062,D
0002,0.056,0.563,0.274,56233000,12.07,25.323,0.441,C
5878,0.028,0.557,0.14,225591000,23.73,9.908,0.039,C
9121,0.0,0.0,0.018,-3493827,6.5,4.119,0.107,D
1996,0.035,0.971,0.065,123132000,28.54,5.772,0.047,D
0176,0.0,0.0,0.085,-8326554,14.91,5.916,0.028,D
5038,0.0,0.0,0.36,116147894,3.48,9.379,0.176,D
2445,0.047,0.914,0.088,1403918000,19.84,8.44,2.009,D
6874,0.036,0.247,0.057,23726000,8.89,6.693,0.061,C
2186,0.008,0.0,0.772,-1174804,15.18,3.1,0.09,D
6491,0.05,0.485,0.148,1411000,9.97,5.743,0.229,C
7033,0.034,0.459,0.305,7250015,13.3,6.415,0.076,C
9083,0.0,0.0,-0.015,-1879529,0.0,-11.997,-0.032,D
5310,0.015,0.0,0.069,74841610,7.76,13.584,0.095,D
5843,0.099,0.374,0.045,83096000,5.93,6.116,0.136,C
8362,0.0,0.0,0.019,-2728000,4.58,15.48,0.059,D
0268,0.011,0.0,0.156,973000,14.91,0.0,0.026,D
7179,0.046,0.41,0.275,112853457,8.08,15.164,0.181,C
0018,0.0,0.0,-4.513,-1407130,0.0,-30.487,-0.375,D
3174,0.046,0.575,0.187,-7777000,14.5,2.282,0.009,C
1643,0.0,0.0,-0.804,-6781000,0.0,-2.219,-0.064,D
9385,0.011,0.078,0.048,74198261,7.29,6.255,0.038,D
9326,0.048,0.356,0.058,87124000,5.67,10.275,0.089,C
8494,0.038,3.637,0.043,-2185307,86.06,0.428,0.005,D
5789,0.043,0.324,0.173,358521378,8.1,6.925,0.069,C
9881,0.032,0.0,0.001,51414642,13.61,2.574,0.048,D
9628,0.0,0.0,0.029,1455920,0.0,0.088,0.001,D
8079,0.046,0.557,0.118,13253000,12.12,15.164,0.067,C
0266,0.0,0.0,-0.055,-97165000,0.0,-8.517,-0.006,D
5232,0.026,0.833,0.036,12384460,13.47,2.495,0.087,D
6633,0.033,0.268,0.056,329387000,8.11,12.268,0.06,C
7170,0.0,0.0,0.082,-7248564,79.74,2.715,0.001,D
0249,0.017,0.539,0.431,12004000,43.6,13.96,0.028,D
3573,0.0,0.0,-0.691,302000,0.0,-7.112,-0.103,D
7089,0.061,0.403,0.131,110431587,7.09,13.79,0.139,C
03047,0.012,0.247,0.314,45485950,6.17,68.627,0.118,B
4235,0.0,0.0,-0.169,-564641000,0.0,-20.155,-0.458,D
8486,0.0,0.0,0.012,-81893000,31.72,0.403,0.003,D
0182,0.0,0.0,-0.254,-39289000,0.0,-17.534,0.01,D
5284,0.0,0.0,-0.178,-4702360000,0.0,-9.937,-0.321,D
8303,0.0,0.0,0.033,9294125,127.19,3.252,0.003,D
8621,0.053,0.808,0.326,915209000,15.47,13.954,0.694,D
7085,0.0,0.0,0.062,35333241,12.87,8.013,0.144,D
5068,0.0,0.0,-0.063,-8101395,0.0,-6.776,-0.006,D
5143,0.034,0.76,0.068,81505731,17.86,5.455,0.043,D
0075,0.0,0.0,0.045,2459000,0.0,-42.942,-0.035,D
9199,0.028,0.138,0.128,13134451,9.44,5.384,0.171,C
0103,0.0,0.0,-0.618,-26489567,0.0,-8.708,-0.029,D
1198,0.0,0.0,-0.044,-47956000,0.0,-0.184,-0.003,D
0095,0.0,0.0,0.245,-16025000,9.17,4.683,0.022,D
7617,0.0,0.0,0.095,-18222974,0.0,-1.459,0.116,D
7087,0.056,0.375,0.094,48835597,8.58,12.933,0.22,C
3859,0.049,0.615,0.1,169673000,13.76,4.889,0.07,C
8583,0.033,0.331,0.135,639378000,11.08,4.878,0.065,C
8141,0.0,0.0,-0.487,17773443,0.0,-1.817,-0.046,D
5264,0.05,0.0,0.054,-241649000,0.0,-5.086,0.052,D
1155,0.066,0.76,0.493,8256940000,11.88,10.216,0.688,D
3794,0.016,0.0,0.11,169716000,42.41,2.713,0.09,D
3662,0.048,0.426,0.025,-129622000,6.39,7.517,0.142,C
3891,0.0,0.0,-0.056,33595000,0.0,-2.55,-0.004,D
5014,0.006,0.143,0.442,899978000,26.65,6.159,0.078,D
1171,0.116,1.461,0.512,936416000,12.37,4.848,0.064,D
5186,0.028,0.0,-0.16,95318000,0.0,-22.333,0.042,D
5916,0.063,0.504,0.076,225219000,16.04,8.223,0.234,C
5098,0.0,0.0,0.02,-80569000,42.54,0.75,0.024,D
5077,0.0,0.0,0.164,104838000,11.64,5.115,0.093,D
0155,0.0,0.0,-1.621,-1273775,0.0,-44.633,-0.112,D
3867,0.013,0.521,0.052,-38042000,90.19,3.055,0.308,D
1651,0.022,0.0,0.057,-19024000,36.28,1.245,0.015,D
4936,0.0,0.0,0.491,325039,35.18,1.58,0.036,D
6181,0.0,0.0,0.039,252223000,0.0,-8.805,-0.16,D
0156,0.0,0.0,-0.583,-14831581,0.0,-16.481,-0.012,D
03015,0.0,0.0,0.025,1644664,0.0,11.363,0.004,D
1058,0.036,0.0,0.046,20171000,8.73,4.351,0.089,D
3514,0.316,2.186,0.209,19712400,10.41,8.741,0.019,D
5078,0.0,0.0,0.224,81490000,3.76,38.96,0.066,D
7029,0.039,0.273,0.162,20912000,6.04,16.699,0.4,C
0189,0.024,1.158,0.042,4967241,81.08,1.106,0.001,D
5236,0.067,0.391,0.218,208967000,5.88,11.32,0.197,C
03019,0.0,0.0,0.118,4021466,400.0,0.729,-0.002,D
4022,0.051,0.312,0.174,64218000,6.21,8.756,0.053,C
6012,0.04,1.218,0.196,1583000000,27.56,19.083,0.151,D
5983,0.032,0.284,0.008,42636000,5.91,12.157,0.717,C
7004,0.032,0.0,0.137,-6850359,6.31,15.508,0.146,D
0167,0.0,0.0,-0.109,2159102,0.0,-15.403,-0.015,D
03022,0.0,0.0,-1.432,-1051232,0.0,-268.177,-0.011,D
5182,0.0,0.0,0.095,-131243203,11.78,3.58,0.0,D
5090,0.043,0.0,-0.014,6017000,0.0,0.0,0.0,D
4502,0.034,0.287,0.08,49786000,11.02,6.494,0.05,C
3069,0.024,0.188,0.358,394695000,8.55,13.922,0.42,C
5129,0.018,0.071,0.229,-53932923,3.75,6.86,0.164,D
3778,0.0,0.0,-0.015,5475227,0.0,-1.828,-0.047,D
1694,0.0,0.0,0.651,103010000,21.68,4.674,0.034,D
5223,0.0,0.0,-0.879,707247,0.0,-11.364,-0.251,D
8192,0.0,0.0,-0.037,-8206498,0.0,-9.893,-0.131,D
5040,0.0,0.0,4.756,-22269000,0.0,-10.442,-0.058,D
7234,0.0,0.0,0.12,29285000,5.35,13.621,0.091,D
5011,0.039,0.896,0.011,7186000,22.4,3.188,0.108,D
0207,0.003,0.125,0.132,-7152281,40.73,11.206,0.009,D
2097,0.0,0.0,0.373,-11010903,52.9,4.338,0.004,D
03005,0.011,0.815,0.199,4672596,69.08,16.939,0.008,D
6149,0.047,0.475,0.023,81233551,10.15,3.631,0.142,C
0043,0.0,0.0,-0.27,68235636,0.0,-6.892,-0.007,D
7595,0.007,0.094,0.067,-6630083,12.96,6.1,0.026,D
5026,0.033,0.422,0.078,68523403,12.69,4.607,0.176,C
5286,0.023,0.404,0.191,69412559,22.26,6.318,0.077,C
0126,0.0,0.0,0.119,-13480583,43.44,10.464,0.024,D
5001,0.0,0.0,-0.187,21797000,0.0,-8.777,-0.034,D
0112,0.002,0.068,0.063,1543620,32.76,3.154,0.006,D
7935,0.0,0.0,-0.135,-3527098,0.0,0.075,0.013,D
5166,0.0,0.0,0.059,7890000,26.97,3.186,0.003,D
7219,0.0,0.0,-0.039,-44149276,0.0,-9.902,-0.009,D
5576,0.0,0.0,0.072,14602000,17.8,1.511,0.021,D
3816,0.051,0.582,0.228,748561000,12.66,6.649,0.408,C
9571,0.018,0.149,0.117,24122364,8.01,3.778,0.009,D
8893,0.0,0.0,0.146,39079000,21.06,1.06,0.011,D
6114,0.029,0.327,0.125,219480751,11.29,3.884,0.195,C
0085,0.0,0.0,-0.352,-19514916,0.0,-5.535,-0.005,D
0034,0.0,0.0,-0.149,-17115024,0.0,-24.159,-0.038,D
03027,0.0,0.0,0.241,9083907,61.88,15.591,0.008,D
0113,0.038,2.41,0.045,12370937,63.63,2.348,0.045,D
0245,0.0,0.0,0.085,-3785128,17.87,14.508,0.016,D
6459,0.038,0.092,0.07,-168376000,4.49,7.92,0.153,D
0229,0.0,0.0,0.146,7178652,18.01,10.559,0.017,D
5237,0.429,9.434,0.85,-198303000,3.33,1.734,0.28,D
0070,0.0,0.0,-0.975,-12651571,0.0,-11.799,0.002,D
5296,0.017,0.422,0.182,225857000,27.34,35.606,0.05,D
5202,0.0,0.0,-0.052,-23832000,0.0,-11.238,-0.254,D
0213,0.07,0.713,0.222,25716629,9.97,14.455,0.044,C
0092,0.0,0.0,-0.138,-35900261,0.0,-13.817,-0.012,D
5152,0.0,0.0,0.096,36177944,2.16,29.253,0.26,D
3883,0.029,0.0,-0.027,-57002000,0.0,-3.477,-0.036,D
5085,0.0,0.0,-0.012,-32645000,0.0,-3.303,0.012,D
5703,0.0,0.0,0.006,77680000,0.0,-0.979,-0.028,D
3913,0.051,0.36,0.154,6553000,3.96,10.924,0.048,C
3905,0.0,0.0,0.064,-270699000,0.0,-0.514,0.273,D
9539,0.0,0.0,0.359,8176720,6.8,5.437,0.076,D
0138,0.018,0.214,0.605,-230788000,12.99,23.748,0.054,D
5087,0.0,0.0,-0.005,16044205,0.0,-2.497,-0.038,D
5275,0.0,0.0,-0.0,18753000,0.0,-5.114,-0.029,D
7692,0.0,0.0,0.146,-1633241,67.75,3.032,0.005,D
0108,0.044,0.345,0.133,27583750,16.72,5.729,0.032,C
5073,0.0,0.0,-0.032,14156000,27.62,1.23,0.05,D
0270,0.011,0.0,0.135,2730219,34.81,27.061,0.041,D
0056,0.0,0.0,0.266,16044536,11.74,8.188,0.032,D
2038,0.018,0.244,0.104,34047370,13.62,2.949,0.395,D
0235,0.0,0.0,-0.023,-82911580,0.0,-13.902,-0.024,D
4707,0.026,0.984,0.128,199307000,48.96,86.91,2.645,D
0020,0.0,0.0,-1.007,-6805382,0.0,-12.894,-0.019,D
7060,0.062,0.266,0.161,49347000,6.19,7.723,0.323,C
0096,0.0,0.0,-0.458,5543613,0.0,-19.447,-0.035,D
7241,0.0,0.0,0.574,-49974127,55.81,5.012,0.014,D
7215,0.0,0.0,-0.178,-7315000,0.0,-7.094,-0.01,D
7139,0.0,0.0,-0.22,-17257848,0.0,-10.763,-0.007,D
0083,0.0,0.0,-0.114,7625000,31.49,1.285,0.018,D
0026,0.0,0.0,-0.501,-7907192,0.0,-30.431,-0.01,D
03006,0.011,0.0,0.319,457428,0.0,19.435,0.008,D
0201,0.029,0.51,0.392,2458583,15.72,14.536,0.047,C
03045,0.0,0.0,-0.131,-291066,0.0,-2.588,-0.001,D
5047,0.0,0.0,0.052,-42099000,0.0,-0.639,-0.014,D
5066,0.078,0.0,0.01,-26398074,0.0,-1.141,-0.005,D
5025,0.0,0.0,-1.203,-6273366,0.0,-12.25,-0.01,D
4944,0.0,0.0,-8.36,-1704000,0.0,-6.826,-0.008,D
5533,0.0,0.0,0.016,-350000,23.4,1.859,-0.035,D
0220,0.0,0.0,0.049,-6463018,29.08,4.787,-0.003,D
0049,0.033,0.455,0.097,-1043441,13.63,4.885,0.025,C
0172,0.0,0.0,0.132,-56541000,12.09,5.473,0.031,D
7071,0.0,0.0,0.019,-57999036,0.0,-3.549,-0.009,D
7140,0.065,1.642,0.044,-2179065,24.29,3.538,0.045,D
3018,0.0,0.0,-0.065,7357000,9.13,11.0,0.068,D
5298,0.03,0.194,0.104,156995000,0.0,0.0,0.0,C
9008,0.0,0.0,-0.464,5758098,1.49,-23.214,0.236,D
5079,0.0,0.0,-4.962,-2265037,0.0,-149.381,0.0,D
03041,0.05,0.24,-0.046,1230037,0.0,-3.076,0.014,C
5260,0.0,0.0,0.194,25679245,19.76,5.695,0.027,D
0035,0.0,0.0,0.135,14190198,23.17,5.613,0.018,D
0040,0.051,0.586,0.186,8107259,12.1,14.75,0.026,C
0275,0.01,0.0,0.462,4711604,0.0,0.0,0.041,D
0222,0.07,1.101,0.21,15938000,32.36,24.913,0.022,D
0252,0.0,0.0,0.041,7727176,0.0,-2.33,-0.004,D
7107,0.03,0.348,0.064,5024496,13.57,9.031,0.08,C
4006,0.078,0.792,0.121,286722000,12.58,4.348,0.803,D
5827,0.041,0.376,0.189,-15379000,9.1,9.228,0.168,C
5065,0.011,0.0,0.007,-7732000,0.0,-0.278,0.033,D
5053,0.049,0.256,0.148,-329034000,5.19,8.44,0.207,C
0053,0.035,0.134,0.863,588856,3.53,12.865,0.097,C
0153,0.0,0.0,-0.118,-14681084,0.0,-4.569,-0.002,D
7225,0.082,0.203,0.097,-35424475,11.18,12.479,0.022,C
7095,0.017,0.282,0.067,-24364962,16.4,12.661,0.182,D
6009,0.049,4.49,-0.048,10069000,68.17,1.253,0.201,D
7052,0.025,0.339,0.16,457504000,11.67,23.063,0.338,C
4081,0.014,0.21,-0.034,-7957000,5.32,11.969,0.039,D
1287,0.0,0.0,-0.03,-169000,0.0,-2.185,-0.001,D
3719,0.064,0.565,0.078,72541000,13.09,11.194,1.319,C
8419,0.005,0.0,0.03,-63930860,35.26,7.93,0.01,D
5125,0.068,0.428,0.161,62143833,6.31,14.231,0.14,C
5022,0.0,0.0,0.001,3333029,0.0,-0.05,0.0,D
0242,0.0,0.0,0.271,-63025610,37.78,8.187,0.017,D
3611,0.0,0.0,-0.122,-32912348,97.29,0.556,0.005,D
9407,0.0,0.0,-0.072,-5669285,0.0,-12.339,-0.068,D
1724,0.063,0.461,0.261,163342000,7.45,4.975,0.096,C
5657,0.0,0.0,0.101,239978000,0.0,-2.22,-0.105,D
2682,0.0,0.0,-0.042,-7613116,16.93,1.615,0.009,D
0022,0.0,0.0,-0.044,-11946552,0.0,-17.738,-0.027,D
6912,0.0,0.0,-0.263,10869573,0.0,0.483,-0.039,D
0177,0.0,0.0,-0.022,-41095530,0.0,-8.566,-0.308,D
5212,0.071,0.904,0.579,361692000,9.05,9.592,0.13,D
5041,0.075,0.139,0.098,61642000,4.35,7.218,0.233,C
6068,0.025,0.0,0.005,-19837000,41.62,-3.099,0.075,D
6254,0.0,0.0,-0.344,-16568000,0.0,-7.039,-0.011,D
5271,0.019,0.462,0.214,-571000,25.26,17.584,0.047,D
4464,0.0,0.0,-0.351,-7141000,0.0,-3.972,0.0,D
0233,0.022,0.0,0.088,-20519956,27.63,8.592,0.016,D
5231,0.0,0.0,0.1,17645000,7.84,13.387,0.095,D
9997,0.02,0.285,0.006,-38844097,0.0,-2.119,-0.024,D
7160,0.004,0.0,0.206,-12913923,43.62,14.183,0.116,D
8346,0.0,0.0,0.364,71533000,1.88,18.837,0.134,D
0186,0.024,0.362,0.542,-70739842,15.28,10.5,0.086,C
7108,0.0,0.0,0.2,62240000,18.34,5.44,0.005,D
7080,0.0,0.0,-0.37,-4647429,0.0,-7.824,-0.011,D
8532,0.0,0.0,-2.751,4139000,0.0,-17.539,-0.086,D
5436,0.029,0.0,0.018,211222000,0.0,-0.348,0.298,D
8311,0.0,0.0,0.03,44155768,0.0,-1.685,-0.009,D
5219,0.0,0.0,-0.309,-160576000,0.0,-40.766,-0.262,D
0171,0.0,0.561,0.024,6133876,16.71,3.943,0.013,D
5133,0.13,0.377,0.082,57143000,6.94,11.35,0.041,C
3042,0.054,0.424,-0.002,-54984000,0.0,17.668,0.037,C
5183,0.022,0.911,0.13,6168000000,16.22,9.067,0.79,D
5681,0.032,0.717,0.039,1560015000,22.7,17.501,0.782,C
6033,0.038,0.815,0.356,1757096000,19.36,13.289,0.832,D
8117,0.016,0.163,0.154,-3505018,17.59,7.992,0.068,D
7081,0.157,0.0,-0.145,-219973000,0.0,-470.085,-0.464,D
5622,0.0,0.0,0.0,-1083173,359.9,0.394,0.001,D
0006,0.0,0.0,-0.06,-1452843,0.0,-14.502,-0.059,D
1902,0.083,0.0,-17.327,-8351646,0.0,-5.865,-0.074,D
9598,0.031,0.0,-0.009,8748293,0.0,-0.529,-0.013,D
7163,0.0,0.0,-0.017,36000,52.63,5.599,0.004,D
7055,0.0,0.0,0.176,17391647,0.0,3.487,-0.108,D
5075,0.027,0.269,0.146,-90138000,9.58,2.729,0.115,C
9695,0.0,0.0,-0.099,32248000,0.0,-11.806,-0.079,D
7172,0.0,0.0,0.071,-11110000,159.63,4.367,0.072,D
6637,0.0,0.0,-0.233,2832998,0.0,-19.996,-0.022,D
7088,0.07,0.604,0.094,117806886,6.08,11.139,0.317,C
5080,0.016,0.092,0.078,73297191,3.44,14.516,0.225,D
03031,0.042,0.196,0.342,431844,4.97,31.923,0.08,C
4634,0.0,0.0,-0.055,9292000,0.0,-27.198,-0.214,D
7237,0.04,0.596,0.151,14755654,14.94,19.642,0.136,C
0217,0.024,0.0,0.06,4218220,21.92,9.26,0.012,D
4065,0.026,0.32,0.03,8109000,12.69,6.786,1.544,C
8869,0.015,0.495,0.115,1405159000,34.51,18.916,0.172,D
9873,0.024,0.0,-0.016,111113000,0.0,-0.682,0.042,D
7168,0.0,0.0,0.129,23839000,5.29,10.141,0.045,D
7123,0.0,0.0,-0.251,-34689001,0.0,-4.259,0.015,D
0123,0.0,0.0,0.048,-4275264,20.54,5.772,-0.001,D
7201,0.0,0.0,0.034,13007460,0.0,-14.484,-0.015,D
8966,0.0,0.0,0.167,-27112000,3.44,10.51,0.033,D
0091,0.0,0.0,0.0,-15490000,13.47,9.657,0.013,D
5070,0.0,0.0,-0.007,59044000,0.0,-9.672,-0.061,D
0260,0.0,0.0,0.073,-13553679,7.2,0.0,0.077,D
7010,0.0,0.0,0.056,-27049304,60.67,1.895,0.018,D
1295,0.044,0.497,0.679,8977128000,12.2,12.962,0.315,C
8273,0.004,0.017,0.219,27952000,4.59,11.237,0.145,D
0007,0.0,0.0,-3.789,-36126424,0.0,-24.728,-0.033,D
6807,0.0,0.0,0.254,56388000,0.0,-1.797,-0.036,D
7134,0.056,0.871,-0.025,37784478,7.87,7.264,0.073,D
0196,0.009,0.156,0.135,-1608000,18.18,17.086,0.032,D
7084,0.019,0.485,0.091,379251000,37.4,13.339,0.143,D
7544,0.0,0.0,-0.025,6886000,0.0,-7.906,-0.039,D
0202,0.03,0.382,0.094,9249937,24.98,9.656,0.014,C
7498,0.0,0.0,-0.05,932574,0.0,-4.905,-0.021,D
0236,0.0,0.0,0.218,-6248000,15.91,10.944,0.017,D
5272,0.062,0.497,-0.001,70096000,7.94,14.402,0.074,C
7765,0.0,0.0,0.306,6277000,0.0,1.068,0.032,D
03052,0.0,0.0,-0.025,-12299855,0.0,-6.113,-0.01,D
9296,0.058,0.616,0.875,-11987793,13.18,17.259,0.189,C
5256,0.0,0.0,-0.677,-23954000,0.0,-43.519,-0.143,D
03002,0.0,0.0,-0.175,33452,0.0,-144.708,-0.008,D
03036,0.035,0.44,0.205,3347473,7.66,23.468,0.026,C
0032,0.036,0.235,0.274,53193000,8.51,25.604,0.079,C
0081,0.0,0.0,-3.258,-5401006,0.0,-24.685,-0.025,D
7130,0.0,0.0,0.267,-106779000,17.86,2.967,0.012,D
0219,0.0,0.0,0.042,-219793,18.44,7.37,0.037,D
7232,0.0,0.0,0.02,-26226000,53.73,1.017,0.005,D
0200,0.0,0.0,-0.682,1562060,0.0,-21.623,0.022,D
9946,0.0,0.0,-0.251,-4105998,0.0,-38.066,-0.07,D
0106,0.049,0.766,0.509,6204569,12.85,23.365,0.064,D
0037,0.003,0.032,0.098,60826395,9.86,18.566,0.003,D
9954,0.025,0.0,0.044,-6672000,142.86,1.206,0.002,D
1066,0.074,0.552,0.553,5439648000,7.93,10.59,0.647,C
5278,0.029,0.505,0.093,-6350922,17.13,7.702,0.043,C
7006,0.015,0.385,0.048,20159000,11.18,3.368,0.116,D
5113,0.0,0.0,-0.059,38350226,0.0,-8.222,0.0,D
2542,0.025,0.282,0.247,26426596,31.03,1.844,0.217,C
9741,0.0,0.0,0.091,-55533476,10.22,3.692,0.039,D
03039,0.0,0.0,0.069,-195077,0.0,-2.656,0.01,D
8745,0.0,0.0,0.012,-377345,30.27,4.241,0.004,D
8664,0.014,0.493,0.152,1593943000,29.39,1.0,0.036,D
03056,0.0,0.0,0.0,-767847,0.0,-7.171,-0.004,D
8567,0.0,0.0,-0.119,29398000,0.0,-5.389,-0.023,D
0183,0.0,0.0,-0.355,17802000,0.0,-21.577,-0.067,D
9822,0.006,0.221,0.094,-255344000,29.71,10.781,0.164,D
0223,0.004,0.0,0.086,5461057,46.46,10.968,0.025,D
5147,0.039,0.903,0.026,119438000,17.2,5.864,0.078,D
03057,0.0,0.0,0.08,-4656950,0.0,0.0,0.001,D
7943,0.0,0.0,-0.8,-7432218,0.0,-45.344,-0.08,D
0133,0.0,0.0,-1.431,19710888,0.0,-11.28,-0.017,D
5218,0.0,0.0,0.032,-129650000,0.0,-256.304,-0.198,D
7811,0.069,0.518,0.05,10539051,7.28,7.86,0.124,C
4596,0.0,0.0,-0.236,11546000,0.67,58.29,0.57,D
5170,0.0,0.0,-0.055,-43293000,0.0,-87.664,-0.239,D
9237,0.0,0.0,-0.154,-39795526,0.0,-27.464,-0.042,D
5126,0.054,0.4,0.064,615764000,10.27,6.769,0.545,C
5135,0.072,0.806,0.138,99221737,11.44,7.203,0.347,D
5252,0.027,0.227,0.151,7891000,9.14,6.357,0.002,C
5157,0.0,0.0,-0.06,-43243399,0.0,-2.674,-0.005,D
5207,0.0,0.0,0.055,7296000,0.0,0.014,-0.001,D
0109,0.0,0.0,-1.421,-7178934,0.0,-5.519,-0.002,D
7239,0.0,0.0,-0.23,-30519100,0.0,-15.89,-0.05,D
0158,0.032,0.98,0.038,-7884000,31.47,3.12,0.018,D
7247,0.709,0.218,-0.027,19597087,0.33,206.215,1.725,C
0099,0.073,0.794,0.168,41529186,12.2,27.911,0.091,D
4731,0.027,0.311,0.145,110815000,12.63,14.016,0.264,C
8125,0.021,0.184,0.074,-41014000,16.27,13.674,0.131,C
7045,0.0,0.0,0.0,-17223000,0.0,-53.678,-0.186,D
0028,0.0,0.0,0.01,-20845455,180.56,0.421,0.001,D
0212,0.019,0.205,0.113,27273000,9.84,26.345,0.06,D
7073,0.0,0.0,0.118,-9385869,20.9,1.066,0.012,D
4286,0.0,0.0,0.195,-6433321,14.57,3.656,0.04,D
5145,0.0,0.0,-0.096,-1332040,0.0,-5.045,-0.04,D
0203,0.0,0.0,0.0,5211032,250.0,0.823,-0.003,D
0178,0.0,0.0,0.106,-817793,24.88,7.593,0.002,D
7053,0.029,0.0,0.013,1746528,0.0,-2.835,-0.022,D
03009,0.0,0.0,0.0,695014,0.0,-25.411,-0.003,D
9792,0.05,0.922,0.188,54554000,30.28,19.855,0.033,D
2224,0.042,0.0,0.113,-36118000,14.21,2.032,0.015,D
5308,0.041,0.0,0.044,14170000,16.53,16.036,0.044,D
5305,0.032,0.374,0.047,-81798675,10.1,9.345,0.04,C
9431,0.0,0.0,0.407,-2303858,6.95,28.593,0.038,D
5213,0.0,0.0,-2.163,30113000,0.0,-29.674,-0.17,D
5123,0.08,1.499,0.693,97925457,18.13,3.745,0.049,D
5279,0.0,0.0,-2.816,-295230000,0.0,-102.139,-0.294,D
5163,0.0,0.0,0.026,-307032,14.23,14.484,0.058,D
7180,0.0,0.0,-0.008,6791367,936.51,0.598,0.001,D
0055,0.0,0.0,-1.301,-22946247,0.0,-69.043,-0.037,D
0251,0.004,0.196,0.346,-715739,53.05,22.193,0.015,D
5517,0.0,0.0,0.097,37398000,0.0,-1.865,-0.093,D
7412,0.0,0.0,0.047,3426757,28.01,4.884,0.037,D
5173,0.019,0.066,0.203,192913732,4.04,16.186,0.162,D
6017,0.052,0.422,0.328,34816000,9.69,6.181,0.225,C
0241,0.0,0.0,-0.146,-29777000,0.0,-39.828,-0.041,D
7246,0.0,0.0,0.077,1759000,20.92,11.586,0.033,D
0129,0.0,0.0,-0.321,-8914850,0.0,-36.173,-0.016,D
4197,0.059,0.906,0.042,211000000,10.19,8.137,0.214,D
5285,0.015,0.787,0.095,1915856000,21.63,7.387,0.36,D
5288,0.029,0.476,0.177,1002436000,16.24,3.027,0.046,C
4316,0.0,0.0,0.002,1609869,23.05,2.038,0.036,D
5172,0.0,0.0,-0.133,9058000,0.0,-22.448,-0.009,D
9776,0.0,0.0,-0.373,-3816000,0.0,-11.299,-0.037,D
7115,0.0,0.0,0.181,-1071839,5.11,13.872,0.114,D
7155,0.043,0.695,0.061,68443000,12.75,14.348,0.09,C
03008,0.044,0.926,0.155,4610525,21.21,23.966,0.03,D
7248,0.059,1.273,0.121,15220925,18.94,7.007,0.065,D
03023,0.005,0.351,0.056,-517140,66.67,2.073,0.004,D
7132,0.0,0.0,0.132,-262000,2.02,25.974,0.438,D
0117,0.0,0.0,0.198,42243000,0.0,54.292,0.004,D
