stock_name,stock_code
HENGYUAN REFINING COMPANY BERHAD,4324
HEVEABOARD BERHAD,5095
HEXTAR GLOBAL BERHAD,5151
HEXTAR HEALTHCARE BERHAD,7803
HEXTAR INDUSTRIES BERHAD,0161
HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,5136
HEXZA CORPORATION BERHAD,3298
HIAP HUAT HOLDINGS BERHAD,0160
HIAP TECK VENTURE BERHAD,5072
HIBISCUS PETROLEUM BERHAD,5199
HIL INDUSTRIES BERHAD,8443
HLT GLOBAL BERHAD,0188
HO HUP CONSTRUCTION COMPANY BHD,5169
HO WAH GENTING BERHAD,9601
HOMERITZ CORPORATION BERHAD,5160
HONG LEONG BANK BERHAD,5819
HONG LEONG CAPITAL BERHAD,5274
HONG LEONG FINANCIAL GROUP BERHAD,1082
HONG LEONG INDUSTRIES BERHAD,3301
HONG SENG CONSOLIDATED BERHAD,0041
HPMT HOLDINGS BERHAD,5291
HPP HOLDINGS BERHAD,0228
HSS ENGINEERS BERHAD,0185
HUA YANG BERHAD,5062
HUBLINE BERHAD,7013
HUME CEMENT INDUSTRIES BERHAD,5000
HUP SENG INDUSTRIES BERHAD,5024
HWA TAI INDUSTRIES BERHAD,8478
I-BERHAD,4251
IBRACO BERHAD,5084
ICAPITAL.BIZ BERHAD,5108
ICON OFFSHORE BERHAD,5255
ICONIC WORLDWIDE BERHAD,9113
ICT ZONE ASIA BERHAD,03038
IDB TECHNOLOGIES BERHAD,03030
IDEAL CAPITAL BERHAD,9687
IFCA MSC BERHAD,0023
IGB BERHAD,5606
IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,5299
IGB REAL ESTATE INVESTMENT TRUST,5227
IHH HEALTHCARE BERHAD,5225
IHSAN SUKUK-ETBS 4.60%0824,0401GA
IJM CORPORATION BERHAD,3336
ILB GROUP BERHAD,5614
IMASPRO CORPORATION BERHAD,7222
IMPIANA HOTELS BERHAD,7243
INARI AMERTRON BERHAD,0166
INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607
INDUSTRONICS BERHAD,9393
INFOLINE TEC GROUP BERHAD,0253
INFOMINA BERHAD,0265
INFRAHARTA HOLDINGS BERHAD,7240
INGENIEUR GUDANG BERHAD,5178
INNATURE BERHAD,5295
INNITY CORPORATION BERHAD,0147
INNOPRISE PLANTATIONS BERHAD,6262
INSAS BERHAD,3379
INTA BINA GROUP BERHAD,0192
IOI CORPORATION BERHAD,1961
IOI PROPERTIES GROUP BERHAD,5249
IQ GROUP HOLDINGS BERHAD,5107
IQZAN HOLDING BERHAD,7183
IREKA CORPORATION BERHAD,8834
IRIS CORPORATION BERHAD,0010
ISKANDAR WATERFRONT CITY BERHAD,1589
ITMAX SYSTEM BERHAD,5309
IVORY PROPERTIES GROUP BERHAD,5175
JADE MARVEL GROUP BERHAD,7043
JADI IMAGING HOLDINGS BERHAD,7223
JAG BERHAD,0024
JAKS RESOURCES BERHAD,4723
JASA KITA BERHAD,8648
JAYA TIASA HOLDINGS BHD,4383
JAYCORP BERHAD,7152
JCBNEXT BERHAD,0058
JCY INTERNATIONAL BERHAD,5161
JENTAYU SUSTAINABLES BERHAD,5673
JERASIA CAPITAL BERHAD,8931
JF TECHNOLOGY BERHAD,0146
JHM CONSOLIDATION BERHAD,0127
JIANKUN INTERNATIONAL BERHAD,8923
JISHAN BERHAD,03040
JKG LAND BERHAD,6769
JOE HOLDING BERHAD,7096
JOHAN HOLDINGS BERHAD,3441
K. SENG SENG CORPORATION BERHAD,5192
KAMDAR GROUP (M) BERHAD,8672
KANGER INTERNATIONAL BERHAD,0170
KAREX BERHAD,5247
KARYON INDUSTRIES BERHAD,0054
KAWAN FOOD BERHAD,7216
KECK SENG (MALAYSIA) BERHAD,3476
KEIN HING INTERNATIONAL BERHAD,7199
KEJURUTERAAN ASASTERA BERHAD,0193
KELINGTON GROUP BERHAD,0151
KEN HOLDINGS BERHAD,7323
KENANGA INVESTMENT BANK BERHAD,6483
KENANGA KLCI DAILY (-1X) INVERSE ETF,0835EA
KENANGA KLCI DAILY 2X LEVERAGED ETF,0834EA
KERJAYA PROSPEK GROUP BERHAD,7161
KERJAYA PROSPEK PROPERTY BERHAD,7077
KESM INDUSTRIES BERHAD,9334
KEY ALLIANCE GROUP BERHAD,0036
KEY ASIC BERHAD,0143
KHEE SAN BERHAD,6203
KHIND HOLDINGS BERHAD,7062
KIA LIM BERHAD,6211
KIM HIN INDUSTRY BERHAD,5371
KIM HIN JOO (MALAYSIA) BERHAD,0210
KIM LOONG RESOURCES BERHAD,5027
KIM TECK CHEONG CONSOLIDATED BERHAD,0180
KIMLUN CORPORATION BERHAD,5171
KIP REAL ESTATE INVESTMENT TRUST,5280
KKB ENGINEERING BERHAD,9466
KLCC PROPERTY HOLDINGS BERHAD,5235SS
KLUANG RUBBER COMPANY (MALAYA) BERHAD,2453
KNM GROUP BERHAD,7164
KNUSFORD BERHAD,5035
KOBAY TECHNOLOGY BERHAD,6971
KOMARKCORP BERHAD,7017
K-ONE TECHNOLOGY BERHAD,0111
KONSORTIUM TRANSNASIONAL BERHAD,4847
KOSSAN RUBBER INDUSTRIES BERHAD,7153
KOTRA INDUSTRIES BERHAD,0002
KPJ HEALTHCARE BERHAD,5878
KPS CONSORTIUM BERHAD,9121
KRETAM HOLDINGS BERHAD,1996
KRONOLOGI ASIA BERHAD,0176
KSL HOLDINGS BERHAD,5038
